temperature,replicate,lag,heldout_msd,heldout_ngp,jump_event_count,jump_msd,jump_radial_fourth_moment,jump_component_fourth_moment,jump_characteristic_k2,jump_characteristic_k4,jump_characteristic_k7p25,empirical_geometry_supported,empirical_mean_event_count,empirical_cage_variance,fixed_length_geometry_supported,fixed_length_mean_event_count,fixed_length_cage_variance,heldout_msd_used_as_diagnostic_input,heldout_ngp_used_as_diagnostic_input,calibration_jump_geometry_only,observed_fs_k2,gamma_fs_k2,gamma_fs_k2_absolute_error,empirical_fs_k2,empirical_fs_k2_absolute_error,empirical_fs_k2_signed_residual,fixed_length_fs_k2,fixed_length_fs_k2_absolute_error,observed_fs_k4,gamma_fs_k4,gamma_fs_k4_absolute_error,empirical_fs_k4,empirical_fs_k4_absolute_error,empirical_fs_k4_signed_residual,fixed_length_fs_k4,fixed_length_fs_k4_absolute_error,observed_fs_k7p25,gamma_fs_k7p25,gamma_fs_k7p25_absolute_error,empirical_fs_k7p25,empirical_fs_k7p25_absolute_error,empirical_fs_k7p25_signed_residual,fixed_length_fs_k7p25,fixed_length_fs_k7p25_absolute_error,blind_prediction_claim_allowed,finite_exchange_resolved,static_environment_resolved,spatial_facilitation_resolved,activated_cage_geometry_resolved,microdynamic_closure_claim_allowed,thermodynamic_claim_allowed
0.45,2,500,0.1073797565,2.365462548,82671,0.06696280253,0.01739188491,0.003486576869,0.9575476286,0.8514483709,0.6411908257,0,2.607596603,-0.01120536999,0,10.1377695,-0.09524561678,1,1,1,0.9359506295,0.936006271,5.56415e-05,,,,,,0.8005729633,0.8036024938,0.0030295305,,,,,,0.5679871985,0.6095498301,0.0415626316,,,,,,0,0,0,0,0,0,0
0.45,2,1000,0.1713151271,2.18784357,82671,0.06696280253,0.01739188491,0.003486576869,0.9575476286,0.8514483709,0.6411908257,0,6.138852423,-0.03995993925,0,23.86652552,-0.2378090514,1,1,1,0.9031995586,0.9030780337,0.0001215249,,,,,,0.7283672042,0.7285477256,0.0001805214,,,,,,0.4797847508,0.5143078552,0.0345231044,,,,,,0,0,0,0,0,0,0
0.45,2,2000,0.3041745134,1.728526299,82671,0.06696280253,0.01739188491,0.003486576869,0.9575476286,0.8514483709,0.6411908257,0,15.28977647,-0.1199452948,0,59.4433316,-0.6127195937,1,1,1,0.8413429351,0.8404315723,0.0009113628,,,,,,0.6109579894,0.6023119171,0.0086460723,,,,,,0.360040654,0.3688788597,0.0088382057,,,,,,0,0,0,0,0,0,0
0.45,2,3000,0.4306189425,1.412565612,82671,0.06696280253,0.01739188491,0.003486576869,0.9575476286,0.8514483709,0.6411908257,0,25.04231017,-0.2077140547,0,97.35906541,-1.014802822,1,1,1,0.7881757849,0.7858539504,0.0023218345,,,,,,0.5238939684,0.5053916248,0.0185023436,,,,,,0.2872695469,0.2708450563,0.0164244906,,,,,,0,0,0,0,0,0,0
0.45,3,20,0.04088453535,0.6717795454,80085,0.06532154656,0.01701098632,0.003362388281,0.9585702772,0.8548784857,0.6479121931,1,0.1113206647,0.005602149561,1,0.4386122343,0.002038950978,1,1,1,0.9733464399,0.9733516771,5.2372e-06,0.9733412075,5.232400116e-06,-5.232400116e-06,0.9733530963,6.656442158e-06,0.8998300406,0.9001285536,0.000298513,0.8996140721,0.0002159685175,-0.0002159685175,0.900206783,0.000376742392,0.7196253348,0.7254658092,0.0058404744,0.7162989759,0.003326358859,-0.003326358859,0.7272853413,0.007660006508,0,0,0,0,0,0,0
0.45,3,100,0.06145764487,1.529098277,80085,0.06532154656,0.01701098632,0.003362388281,0.9585702772,0.8548784857,0.6479121931,1,0.5725561818,0.00400956493,0,2.255916696,-0.01431705377,1,1,1,0.9610112316,0.9610397268,2.84952e-05,0.9610209177,9.686139419e-06,9.686139419e-06,,,0.8622712168,0.8639460178,0.001674801,0.8630839989,0.000812782094,0.000812782094,,,0.6509038937,0.6751658299,0.0242619362,0.6620972655,0.01119337183,0.01119337183,,,0,0,0,0,0,0,0
0.45,3,200,0.08291711479,1.86151522,80085,0.06532154656,0.01701098632,0.003362388281,0.9585702772,0.8548784857,0.6479121931,1,1.268778577,6.422650025e-06,0,4.999088066,-0.04060517485,1,1,1,0.948712066,0.9487450356,3.29696e-05,0.9487681355,5.60694889e-05,5.60694889e-05,,,0.8285185258,0.8309496974,0.0024311716,0.8317446213,0.003226095474,0.003226095474,,,0.5978656138,0.6316069411,0.0337413273,0.6395061397,0.04164052592,0.04164052592,,,0,0,0,0,0,0,0
0.45,3,500,0.1442378852,1.88756167,80085,0.06532154656,0.01701098632,0.003362388281,0.9585702772,0.8548784857,0.6479121931,0,3.893056656,-0.01834376607,0,15.33895151,-0.1429543583,1,1,1,0.9154651401,0.9154291631,3.5977e-05,,,,,,0.7464957972,0.7488878219,0.0023920247,,,,,,0.4861965894,0.5241335752,0.0379369858,,,,,,0,0,0,0,0,0,0
0.45,3,1000,0.2440330958,1.549901664,80085,0.06532154656,0.01701098632,0.003362388281,0.9585702772,0.8548784857,0.6479121931,0,9.150240002,-0.05894578875,0,36.0526702,-0.3518305132,1,1,1,0.8653976752,0.8649511042,0.000446571,,,,,,0.6394261791,0.6376342122,0.0017919669,,,,,,0.3638800632,0.3894135222,0.025533459,,,,,,0,0,0,0,0,0,0
0.45,3,2000,0.452360035,1.073065314,80085,0.06532154656,0.01701098632,0.003362388281,0.9585702772,0.8548784857,0.6479121931,0,21.76834926,-0.1615970341,0,85.7690199,-0.8583674986,1,1,1,0.7710587369,0.7700718971,0.0009868398,,,,,,0.4716494659,0.4611936796,0.0104557863,,,,,,0.2108549382,0.2131526737,0.0022977355,,,,,,0,0,0,0,0,0,0
0.45,3,3000,0.6472318284,0.8235015743,80085,0.06532154656,0.01701098632,0.003362388281,0.9585702772,0.8548784857,0.6479121931,0,34.1991292,-0.2644513636,0,134.7472772,-1.359111452,1,1,1,0.6922019468,0.6912796773,0.0009222695,,,,,,0.3580006787,0.3416916125,0.0163090662,,,,,,0.1294193664,0.1216106899,0.0078086765,,,,,,0,0,0,0,0,0,0
0.58,1,20,0.166608416,0.5385549106,34616,0.3326365126,0.2378822758,0.04811133661,0.8067742347,0.4544088339,0.1205473088,1,0.1035750577,0.02202592834,1,0.2251815338,0.01528413598,1,1,1,0.8977103425,0.8977380144,2.76719e-05,0.8975225055,0.0001878369659,-0.0001878369659,0.8977591006,4.875806342e-05,0.6706091522,0.6714364105,0.0008272583,0.6643643967,0.006244755533,-0.006244755533,0.6720674239,0.001458271717,0.3302563515,0.3406257239,0.0103693724,0.2868410007,0.04341535083,-0.04341535083,0.3413004681,0.01104411656,0,0,0,0,0,0,0
0.58,1,100,0.6244853325,0.2825033492,34616,0.3326365126,0.2378822758,0.04811133661,0.8067742347,0.4544088339,0.1205473088,1,0.7633072872,0.0617635764,1,1.65949901,0.01207922818,1,1,1,0.6748742077,0.6746198816,0.0002543261,0.6739866736,0.0008875340736,-0.0008875340736,0.6752971236,0.0004229158528,0.2577057893,0.255423875,0.0022819143,0.2454478114,0.01225797794,-0.01225797794,0.2672114427,0.00950565345,0.03757140173,0.03661412303,0.0009572787,0.01988597375,0.01768542798,-0.01768542798,0.07160115628,0.03402975455,0,0,0,0,0,0,0
0.58,1,200,1.1970958,0.1700313779,34616,0.3326365126,0.2378822758,0.04811133661,0.8067742347,0.4544088339,0.1205473088,1,1.688177903,0.105924365,0,3.670251293,-0.00396063177,1,1,1,0.4733264732,0.4731393431,0.0001871301,0.4724152435,0.0009112297254,-0.0009112297254,,,0.0764199928,0.07807785417,0.00165786137,0.07310600339,0.003313989408,-0.003313989408,,,0.003537489663,0.002429856633,0.00110763303,0.0008653971416,0.002672092521,-0.002672092521,,,0,0,0,0,0,0,0
0.58,1,400,2.302522123,0.08241548507,34616,0.3326365126,0.2378822758,0.04811133661,0.8067742347,0.4544088339,0.1205473088,1,3.027246357,0.2159249087,1,6.581507103,0.01887875876,1,1,1,0.2367746362,0.2356514686,0.0011231676,0.2348891382,0.001885498044,-0.001885498044,0.2367056258,6.901041062e-05,0.00500707551,0.006953599574,0.001946524064,0.006057625372,0.001050549862,0.001050549862,0.008484573896,0.003477498386,-0.001589387093,6.916267908e-06,0.001596303361,8.21714384e-07,0.001590208807,0.001590208807,0.0001322131887,0.001721600282,0,0,0,0,0,0,0
0.58,1,600,3.5092387,0.0488024811,34616,0.3326365126,0.2378822758,0.04811133661,0.8067742347,0.4544088339,0.1205473088,1,4.163888054,0.3540295831,1,9.052668852,0.08299841719,1,1,1,0.1097146614,0.1091200522,0.0005946092,0.1085343259,0.001180335501,-0.001180335501,0.1096904833,2.41781159e-05,0.003664696472,0.000449231089,0.003215465383,0.0003575433771,0.003307153095,-0.003307153095,0.0005683267126,0.003096369759,-0.002099056579,6.995525743e-09,0.002099063575,2.128097551e-10,0.002099056792,0.002099056792,2.306966618e-07,0.002099287276,0,0,0,0,0,0,0
0.58,2,20,0.1689377576,0.5268513866,34996,0.3260657778,0.2242255992,0.04462576006,0.8094346998,0.457414619,0.1195720245,1,0.1123142075,0.02205265636,1,0.2357110204,0.0153467434,1,1,1,0.8963572501,0.8963625379,5.2878e-06,0.8961801588,0.0001770912906,-0.0001770912906,0.8963846393,2.73892037e-05,0.6669561226,0.6674901196,0.000533997,0.6611447023,0.005811420299,-0.005811420299,0.6681651074,0.001208984756,0.3258010832,0.3348224636,0.0090213804,0.2842141373,0.04158694589,-0.04158694589,0.3361383143,0.01033723112,0,0,0,0,0,0,0
0.58,2,100,0.6429152368,0.2515771496,34996,0.3260657778,0.2242255992,0.04462576006,0.8094346998,0.457414619,0.1195720245,1,0.7767329849,0.06494153199,1,1.630110103,0.01856535303,1,1,1,0.6661168892,0.6656179628,0.0004989264,0.6651222089,0.0009946802913,-0.0009946802913,0.666172448,5.555878882e-05,0.2452543963,0.2404171572,0.0048372391,0.2321182185,0.01313617777,-0.01313617777,0.2497085876,0.004454191322,0.03400429515,0.02996067118,0.00404362397,0.01661670566,0.01738758949,-0.01738758949,0.05302848596,0.01902419081,0,0,0,0,0,0,0
0.58,2,200,1.239448947,0.1300464732,34996,0.3260657778,0.2242255992,0.04462576006,0.8094346998,0.457414619,0.1195720245,1,1.492275414,0.1254781673,1,3.131801116,0.03637929673,1,1,1,0.4582518725,0.4561891739,0.0020626986,0.455532333,0.002719539491,-0.002719539491,0.4569152589,0.001336613598,0.0696389834,0.06396364732,0.00567533608,0.05976485498,0.00987412842,-0.00987412842,0.06876938678,0.0008695966171,0.001363290919,0.00114712152,0.000216169399,0.0003673163148,0.0009959746042,-0.0009959746042,0.003414025935,0.002050735016,0,0,0,0,0,0,0
0.58,2,400,2.446386945,0.06244093818,34996,0.3260657778,0.2242255992,0.04462576006,0.8094346998,0.457414619,0.1195720245,1,2.791340648,0.2560377142,1,5.858116857,0.08937591929,1,1,1,0.213495863,0.2115866887,0.0019091743,0.2109606775,0.002535185534,-0.002535185534,0.2121602278,0.001335635169,-0.0008022615567,0.004200883759,0.005003145316,0.00365688328,0.004459144837,0.004459144837,0.0047546477,0.005556909257,0.0005040949482,1.236876429e-06,0.0005028580718,1.224507718e-07,0.0005039724974,-0.0005039724974,7.926016964e-06,0.0004961689312,0,0,0,0,0,0,0
0.58,2,600,3.687875142,0.05260664914,34996,0.3260657778,0.2242255992,0.04462576006,0.8094346998,0.457414619,0.1195720245,1,5.344242752,0.3242167454,1,11.2158287,0.005129539019,1,1,1,0.09566220282,0.09905369675,0.00339149393,0.09873713067,0.003074927849,0.003074927849,0.09981483201,0.004152629191,-0.003364692749,0.0003611874057,0.003725880155,0.0003074568159,0.003672149565,0.003672149565,0.0005082296802,0.003872922429,0.004720807731,6.331240465e-09,0.0047208014,3.592999691e-10,0.004720807372,-0.004720807372,1.054238985e-06,0.004719753492,0,0,0,0,0,0,0
0.58,3,20,0.1709297026,0.5122257579,35587,0.3335309071,0.2332599585,0.04659121235,0.8055031327,0.4485202317,0.1142927517,1,0.1070708429,0.02253637787,1,0.2242193391,0.01602427051,1,1,1,0.8951448082,0.8951612325,1.64243e-05,0.8949651903,0.0001796179341,-0.0001796179341,0.8951793992,3.459096784e-05,0.6632518336,0.6638757138,0.0006238802,0.6572903339,0.005961499728,-0.005961499728,0.6643908888,0.001139055176,0.3201497833,0.3290954398,0.0089456565,0.2782036767,0.04194610663,-0.04194610663,0.3286294958,0.008479712522,0,0,0,0,0,0,0
0.58,3,100,0.6490628752,0.2343711602,35587,0.3335309071,0.2332599585,0.04659121235,0.8055031327,0.4485202317,0.1142927517,1,0.7064028493,0.06890928202,1,1.479293295,0.02594547343,1,1,1,0.6619462153,0.6622274498,0.0002812345,0.6616422551,0.0003039602356,-0.0003039602356,0.6626877616,0.0007415463193,0.236533644,0.2339035807,0.0026300633,0.2248964079,0.01163723607,-0.01163723607,0.2414178458,0.004884201794,0.03010697649,0.02694534338,0.00316163311,0.01429693272,0.01581004377,-0.01581004377,0.04290740736,0.01280043087,0,0,0,0,0,0,0
0.58,3,200,1.237922543,0.1321734468,35587,0.3335309071,0.2332599585,0.04659121235,0.8055031327,0.4485202317,0.1142927517,1,1.449125147,0.1257657531,1,3.034643923,0.03762916714,1,1,1,0.4559535285,0.4568968844,0.0009433559,0.4561592429,0.0002057143726,0.0002057143726,0.4576391487,0.001685620225,0.06618843322,0.06460457666,0.00158385656,0.06011984759,0.006068585628,-0.006068585628,0.06953035851,0.003341925292,0.002712052388,0.001196745195,0.001515307193,0.0003729511764,0.002339101212,-0.002339101212,0.003554433914,0.0008423815262,0,0,0,0,0,0,0
0.58,3,400,2.399539017,0.08466089026,35587,0.3335309071,0.2332599585,0.04659121235,0.8055031327,0.4485202317,0.1142927517,1,3.487491815,0.2060587848,0,7.303231101,-0.006052379482,1,1,1,0.2209161291,0.2230739321,0.002157803,0.2225638234,0.001647694295,0.001647694295,,,0.006469244519,0.006015784913,0.000453459606,0.005406130269,0.00106311425,-0.00106311425,,,0.001025920145,5.697158917e-06,0.001020222986,9.009089375e-07,0.001025019236,-0.001025019236,,,0,0,0,0,0,0,0
0.58,3,600,3.495641524,0.04958589059,35587,0.3335309071,0.2332599585,0.04659121235,0.8055031327,0.4485202317,0.1142927517,1,4.334975336,0.3416322113,1,9.077964445,0.07797663469,1,1,1,0.1077893142,0.110214191,0.0024248768,0.1097370787,0.001947764483,0.001947764483,0.110805528,0.00301621379,0.002841905866,0.0004700586939,0.002371847172,0.0003871235848,0.002454782281,-0.002454782281,0.0005981071519,0.002243798714,0.0006545515779,8.132431763e-09,0.0006545434455,3.418797036e-10,0.000654551236,-0.000654551236,2.903022692e-07,0.0006542612756,0,0,0,0,0,0,0
0.58,4,20,0.1625653227,0.555599068,34685,0.323865617,0.2231843566,0.04514141978,0.8110185481,0.4625653598,0.1251201853,1,0.1084228604,0.02124181435,1,0.2333116319,0.01450061785,1,1,1,0.9001075442,0.9001090899,1.5457e-06,0.899913018,0.0001945261903,-0.0001945261903,0.9001329301,2.538586373e-05,0.6774505578,0.678132378,0.0006818202,0.6715685183,0.005882039549,-0.005882039549,0.6788876237,0.001437065934,0.3392101017,0.350230655,0.0110205533,0.2977860989,0.04142400276,-0.04142400276,0.3525372683,0.01332716656,0,0,0,0,0,0,0
0.58,4,100,0.6061875301,0.3029036268,34685,0.323865617,0.2231843566,0.04514141978,0.8110185481,0.4625653598,0.1251201853,1,0.821905716,0.0566667547,1,1.768632217,0.005564727658,1,1,1,0.6829333147,0.6830139174,8.06027e-05,0.6825005444,0.0004327703396,-0.0004327703396,0.6837658687,0.0008325539776,0.2707881819,0.2682805343,0.0025076476,0.2596583169,0.01112986501,-0.01112986501,0.2818955267,0.01110734481,0.04724884334,0.04219924594,0.0050495974,0.02478256209,0.02246628125,-0.02246628125,0.0890852326,0.04183638926,0,0,0,0,0,0,0
0.58,4,200,1.182206389,0.1978866485,34685,0.323865617,0.2231843566,0.04514141978,0.8110185481,0.4625653598,0.1251201853,1,2.042239295,0.08679921659,0,4.394628412,-0.04017710886,1,1,1,0.479828903,0.4807522508,0.0009233478,0.4803971058,0.0005682027806,0.0005682027806,,,0.08817574106,0.08630399938,0.00187174168,0.08321250798,0.004963233085,-0.004963233085,,,0.002464299596,0.003573101435,0.001108801839,0.001748323836,0.0007159757601,-0.0007159757601,,,0,0,0,0,0,0,0
0.58,4,400,2.361779625,0.1255594628,34685,0.323865617,0.2231843566,0.04514141978,0.8110185481,0.4625653598,0.1251201853,1,5.171680932,0.1144749981,0,11.12877223,-0.2070745102,1,1,1,0.2367046518,0.2376951814,0.0009905296,0.2380554228,0.001350770974,0.001350770974,,,0.01036455717,0.009653292865,0.000711264305,0.009941469314,0.0004230878564,-0.0004230878564,,,0.0004242822673,3.728027746e-05,0.0003870019898,2.641202011e-05,0.0003978702472,-0.0003978702472,,,0,0,0,0,0,0,0
0.58,4,600,3.553821214,0.07065457221,34685,0.323865617,0.2231843566,0.04514141978,0.8110185481,0.4625653598,0.1251201853,1,6.589234341,0.2366324614,0,14.17915937,-0.1730534976,1,1,1,0.1152306255,0.111850315,0.0033803105,0.1117185052,0.003512120309,-0.003512120309,,,0.006394974288,0.0007068812426,0.005688093045,0.0006572788703,0.005737695418,-0.005737695418,,,0.001565928914,7.096293734e-08,0.001565857951,1.243461314e-08,0.001565916479,-0.001565916479,,,0,0,0,0,0,0,0
0.58,5,20,0.1631941386,0.5392127581,35467,0.3227297815,0.2191159033,0.04386051275,0.8111780942,0.4609111549,0.1254547698,1,0.1091375782,0.02132869864,1,0.2297946607,0.01483875966,1,1,1,0.8996730891,0.8996725333,5.558e-07,0.8994944821,0.0001786070389,-0.0001786070389,0.8996934183,2.032919326e-05,0.6760951456,0.6764291022,0.0003339566,0.6702570193,0.005838126262,-0.005838126262,0.6770754343,0.0009802886524,0.3389222006,0.3465112123,0.0075890117,0.2962547744,0.04266742621,-0.04266742621,0.3478436015,0.008921400853,0,0,0,0,0,0,0
0.58,5,100,0.6160653824,0.2916386301,35467,0.3227297815,0.2191159033,0.04386051275,0.8111780942,0.4609111549,0.1254547698,1,0.8412085962,0.05743038599,1,1.771207013,0.007407355033,1,1,1,0.6788948376,0.6784692573,0.0004255803,0.6780324341,0.0008624034812,-0.0008624034812,0.6791891252,0.0002942876407,0.2648503728,0.2612638107,0.0035865621,0.2535048443,0.01134552852,-0.01134552852,0.2740736289,0.009223256111,0.04062371141,0.03909137518,0.00153233623,0.02341544037,0.01720827104,-0.01720827104,0.08070092782,0.04007721641,0,0,0,0,0,0,0
0.58,5,200,1.200607838,0.1929264564,35467,0.3227297815,0.2191159033,0.04386051275,0.8111780942,0.4609111549,0.1254547698,1,2.113485033,0.08642054584,0,4.450049048,-0.03925925312,1,1,1,0.4751171482,0.4750610092,5.6139e-05,0.4748508828,0.000266265379,-0.000266265379,,,0.08306004158,0.08265057914,0.00040946244,0.08029202812,0.002768013463,-0.002768013463,,,0.00462001383,0.003199977144,0.001420036686,0.001676883621,0.002943130209,-0.002943130209,,,0,0,0,0,0,0,0
0.58,5,400,2.35947766,0.1261279132,35467,0.3227297815,0.2191159033,0.04386051275,0.8111780942,0.4609111549,0.1254547698,1,5.33639527,0.1062106634,0,11.23604867,-0.2111216451,1,1,1,0.2349348748,0.238131318,0.0031964432,0.238718325,0.003783450218,0.003783450218,,,0.0056397911,0.009735707296,0.004095916196,0.0102943325,0.004654541397,0.004654541397,,,-0.001384411724,3.824966603e-05,0.00142266139,3.537104441e-05,0.001419782768,0.001419782768,,,0,0,0,0,0,0,0
0.58,5,600,3.496961927,0.1029919015,35467,0.3227297815,0.2191159033,0.04386051275,0.8111780942,0.4609111549,0.1254547698,1,9.571718664,0.06798054237,0,20.15373511,-0.5012081003,1,1,1,0.1212346132,0.1237548204,0.0025202072,0.1250211534,0.003786540179,0.003786540179,,,-0.001409288985,0.001450202275,0.00285949126,0.001934908117,0.003344197102,0.003344197102,,,0.008498017816,9.859182988e-07,0.008497031898,6.497272005e-06,0.008491520544,-0.008491520544,,,0,0,0,0,0,0,0
