temperature,parent_id,model,lag,child_restart_count,realization_count,predicted_msd,target_msd,mc_se_msd,predicted_ngp,target_ngp,mc_se_ngp,predicted_fs_k2,target_fs_k2,mc_se_fs_k2,predicted_fs_k4,target_fs_k4,mc_se_fs_k4,predicted_fs_k7p25,target_fs_k7p25,mc_se_fs_k7p25,support_pass,all_child_restart_curve_gate_pass,all_child_restart_higher_order_gate_pass,all_child_restart_precision_pass,failed_child_restart_count,maximum_child_restart_higher_order_score,msd_relative_error,ngp_absolute_error,absolute_error_fs_k2,absolute_error_fs_k4,absolute_error_fs_k7p25,mc_relative_se_msd
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,finite_exchange_environment,200,3,192,0.3929548526216884,0.07520056123369138,7.884450128681184e-05,0.121299529477031,2.006542528897479,0.00032396221710772943,0.7725433373316225,0.9533016497076988,3.838303070565229e-05,0.3701284521475448,0.8424183294324846,7.227921837312658e-05,0.049423181535255746,0.623679630548327,5.736791249603304e-05,1,0,0,0,3,25.588617750514004,4.225424467252999,1.8852429994204483,0.1807583123760763,0.4722898772849398,0.5742564490130713,0.001048456288002913
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,finite_exchange_environment,2000,3,192,3.948156405931394,0.3804918087436149,0.0022682161133423732,0.021688969298993787,1.444557669873739,0.0004996223603570006,0.07732244255477709,0.8061750197934496,0.0002407910789045157,7.837499508205107e-05,0.5420765220261176,0.0001283199687911332,2.663896908085374e-05,0.2894792740466868,7.325441494504276e-05,1,0,0,0,3,25.588617750514004,9.376455721788647,1.4228687005747451,0.7288525772386726,0.5419981470310355,0.28945263507760594,0.005961274490591611
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,finite_exchange_environment,3000,3,192,5.9219374575709125,0.5428630069869955,0.0045458023050789905,0.014367060130617101,1.188746539691488,0.0006401434370837898,0.02131377385186357,0.7409790220423944,0.00026386283292412015,-3.905328733128197e-05,0.44362214992805216,0.00016113322885049464,9.192580431958924e-05,0.2129683136864647,9.215892673537534e-05,1,0,0,0,3,25.588617750514004,9.90871431899351,1.1743794795608709,0.7196652481905308,0.44366120321538344,0.21287638788214513,0.008373755895265648
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,finite_exchange_environment,500,3,192,0.9842891631419803,0.1262955126161884,0.0002892968284668781,0.0680689355941463,2.164410449673618,0.00034208853851203476,0.5258853512143343,0.9255414798411173,9.935862906870355e-05,0.0870001852200305,0.7737458591055776,0.00010479609039492336,0.0007775684499313245,0.5291930232489127,6.377382806095406e-05,1,0,0,0,3,25.588617750514004,6.793540267208317,2.0963415140794717,0.399656128626783,0.6867456738855471,0.5284154547989813,0.0022906342630402876
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,full_candidate,100,3,192,0.06999366829412552,0.057100198209926144,2.1572897603265237e-05,1.111342952028867,1.591737265317109,0.0017915462951073734,0.9554891104600515,0.9636844599785942,1.2218461614810188e-05,0.8424788575645522,0.87093838803019,3.334736045965758e-05,0.6066140889863864,0.6685948251395887,5.332967648053107e-05,1,0,0,1,3,14.922569336447202,0.2258042964544038,0.480394313288242,0.008195349518542727,0.02845953046563776,0.06198073615320232,0.0003778077533803563
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,full_candidate,1000,3,192,0.3890970271138303,0.2096882357573943,0.00025536298240774497,0.4333154889626624,1.9242521838872673,0.001413498690041242,0.7818401221193815,0.8837103017827217,0.00011166522473987676,0.4197612566538947,0.6839386458670308,0.00019113636300057302,0.10484201795905106,0.4252107551608982,0.0001420235513810222,1,0,0,1,3,14.922569336447202,0.8555977912085109,1.4909366949246048,0.10187017966334022,0.2641773892131361,0.3203687372018471,0.0012178221705446345
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,full_candidate,20,3,192,0.039163079413023945,0.03949186469853002,6.398955840237864e-06,0.659063798697403,0.6751140847848851,0.000954881524015193,0.9744391699070966,0.9742347768868321,3.949850649951022e-06,0.9036204974380154,0.9029575283359126,1.3021444852801634e-05,0.7281680534013605,0.7268548226920929,2.8352624503197757e-05,1,0,0,1,3,14.922569336447202,0.008325392786993758,0.016050286087482157,0.00020439302026442618,0.0006629691021028394,0.0013132307092675877,0.00016203225370809213
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,full_candidate,200,3,192,0.10597117386833932,0.07520056123369138,4.284515823797365e-05,1.0321569754849165,2.006542528897479,0.00183185271654328,0.9340127947377915,0.9533016497076988,2.30174484564271e-05,0.777902037481922,0.8424183294324846,5.62394385254744e-05,0.4948132691551505,0.623679630548327,7.697201090006393e-05,1,0,0,1,3,14.922569336447202,0.40918062484967294,0.9743855534125627,0.019288854969907288,0.06451629195056263,0.12886636139317648,0.0005697451925236183
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,full_candidate,2000,3,192,0.7423922823365773,0.3804918087436149,0.0006138567861664234,0.24175080130009222,1.444557669873739,0.0012275535467054473,0.6263351282218577,0.8061750197934496,0.00021713031407918188,0.19482060006366939,0.5420765220261176,0.00024359960885714317,0.015472598358180609,0.2894792740466868,0.0001571188838324844,1,0,0,1,3,14.922569336447202,0.9511386717836552,1.2028068685736468,0.17983989157159197,0.34725592196244814,0.2740066756885062,0.00161332457640384
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,full_candidate,3000,3,192,1.0961963303169173,0.5428630069869955,0.0010451187719544021,0.16673892974024407,1.188746539691488,0.0012835124397270006,0.5016090887494795,0.7409790220423944,0.00031245225305757057,0.09053601552761342,0.44362214992805216,0.000275794427386971,0.0024121955601226716,0.2129683136864647,0.0001975829628196868,1,0,0,1,3,14.922569336447202,1.0192872164950764,1.022007609951244,0.2393699332929149,0.35308613440043873,0.21055611812634203,0.0019251979937904267
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,full_candidate,500,3,192,0.21234370946398928,0.1262955126161884,0.00011472357110038318,0.7003682337080485,2.164410449673618,0.001683621090379947,0.8735916462216419,0.9255414798411173,5.615800730422846e-05,0.6166143786949883,0.7737458591055776,0.000118339840670779,0.27543751163109015,0.5291930232489127,0.00013195793926928308,1,0,0,1,3,14.922569336447202,0.6813242613718274,1.4640422159655695,0.05194983361947547,0.15713148041058933,0.25375551161782256,0.0009083740880725325
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,mean_rate_null,100,3,192,0.1959828730064067,0.057100198209926144,2.3833205163761658e-05,3.6487571497422856e-05,1.591737265317109,8.68202134125828e-05,0.8775210802171705,0.9636844599785942,1.3968369927706707e-05,0.5929743076709099,0.87093838803019,3.887059149707418e-05,0.17966840572990558,0.6685948251395887,5.1780369080211206e-05,1,0,0,0,3,25.67879993168397,2.4322625691400415,1.5917007777456116,0.08616337976142374,0.2779640803592801,0.48892641940968307,0.0004173926870821012
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,mean_rate_null,1000,3,192,1.9600250872208635,0.2096882357573943,0.0007424156257386907,0.0001895935234744097,1.9242521838872673,0.00029034347169795607,0.2707035296634784,0.8837103017827217,0.00016260074152412433,0.005436504996058528,0.6839386458670308,0.00011445780276949463,-6.343207148174634e-06,0.4252107551608982,6.327894799955733e-05,1,0,0,0,3,25.67879993168397,8.34732976383367,1.924062590363793,0.6130067721192434,0.6785021408709723,0.42521709836804633,0.0035405688023321105
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,mean_rate_null,20,3,192,0.03919956074055679,0.03949186469853002,2.688564072516898e-06,3.809272644209223e-05,0.6751140847848851,5.5123797441654594e-05,0.9742055111084061,0.9742347768868321,1.7473839276980085e-06,0.9007464050665898,0.9029575283359126,6.4826795153315966e-06,0.7093561932475462,0.7268548226920929,1.7088533517492087e-05,1,0,0,0,3,25.67879993168397,0.00740162461824978,0.675075992058443,2.9265778425990874e-05,0.0022111232693228233,0.01749862944454672,6.807893456134961e-05
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,mean_rate_null,200,3,192,0.3919900459319561,0.07520056123369138,6.628009375074578e-05,0.00016106001269821507,2.006542528897479,0.00012223009473670226,0.7700348556470408,0.9533016497076988,3.410213407856165e-05,0.35161919785939416,0.8424183294324846,6.88504593737653e-05,0.032258331927982935,0.623679630548327,5.5713663811122274e-05,1,0,0,0,3,25.67879993168397,4.212594686811148,2.006381468884781,0.18326679406065804,0.49079913157309046,0.5914212986203441,0.0008813776474988719
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,mean_rate_null,2000,3,192,3.91917485632581,0.3804918087436149,0.002358663433085756,-0.0006446128147764973,1.444557669873739,0.0004634299551566773,0.07320056031709597,0.8061750197934496,0.0002523873302152937,-5.3141978552534425e-05,0.5420765220261176,0.00013645828130641076,8.748951284142914e-05,0.2894792740466868,6.548574535990982e-05,1,0,0,0,3,25.67879993168397,9.300287066013162,1.4452022826885156,0.7329744594763536,0.5421296640046701,0.28939178453384534,0.006198986098739077
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,mean_rate_null,3000,3,192,5.878657419303764,0.5428630069869955,0.004600676996719605,-0.0005914290467133888,1.188746539691488,0.000617218716549043,0.019973875932511067,0.7409790220423944,0.0002867131401134727,0.00011314273676999376,0.44362214992805216,0.00014783434683557315,2.458836021100432e-05,0.2129683136864647,8.908003140418247e-05,1,0,0,0,3,25.67879993168397,9.828988793934506,1.1893379687382015,0.7210051461098833,0.44350900719128217,0.21294372532625372,0.008474839761608247
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,mean_rate_null,500,3,192,0.9800644179442658,0.1262955126161884,0.0002623574881597252,3.9234927506983514e-05,2.164410449673618,0.00018674956795044538,0.5202874320652134,0.9255414798411173,9.280635674375803e-05,0.07318798670425335,0.7737458591055776,9.511480738481486e-05,0.0002505141313055477,0.5291930232489127,6.034439536905429e-05,1,0,0,0,3,25.67879993168397,6.760088997957338,2.164371214746111,0.4052540477759039,0.7005578724013243,0.5289425091176072,0.002077330244955168
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,one_step_jump_law,100,3,192,0.19600719405725572,0.057100198209926144,2.889132902172132e-05,0.1321068244391438,1.591737265317109,0.00025417828663837274,0.8784567125284456,0.9636844599785942,1.6000590009051916e-05,0.602211039546046,0.87093838803019,4.007737988513528e-05,0.20453548038587124,0.6685948251395887,5.049215405909685e-05,1,0,0,0,3,25.63991893069951,2.4326885055047383,1.459630440877965,0.0852277474501486,0.2687273484841439,0.46405934475371746,0.0005059759848031303
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,one_step_jump_law,1000,3,192,1.960825012857131,0.2096882357573943,0.0008087290932689249,0.013283604114401826,1.9242521838872673,0.00030861940839048196,0.2736959541248522,0.8837103017827217,0.00017218779468838893,0.006225882911241129,0.6839386458670308,0.00010247811456554176,-3.928997394597891e-05,0.4252107551608982,5.646419380181157e-05,1,0,0,0,3,25.63991893069951,8.351144596999577,1.9109685797728655,0.6100143476578694,0.6777127629557896,0.42525004513484416,0.003856816718152041
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,one_step_jump_law,20,3,192,0.03920284691293096,0.03949186469853002,4.3080332903638645e-06,0.6587015248356131,0.6751140847848851,0.0008759033467330589,0.9744136946247232,0.9742347768868321,2.6306943932413667e-06,0.9035330338903219,0.9029575283359126,8.497340996728611e-06,0.727982438703184,0.7268548226920929,1.8116909986756216e-05,1,0,0,0,3,25.63991893069951,0.0073184132429638974,0.016412559949272043,0.00017891773789102672,0.0005755055544093279,0.001127616011091126,0.00010908660108227859
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,one_step_jump_law,200,3,192,0.3919875397072732,0.07520056123369138,7.475816657546664e-05,0.06617515092109026,2.006542528897479,0.00020794309730015365,0.7717089931594686,0.9533016497076988,3.6900927238346064e-05,0.3627493971876421,0.8424183294324846,7.136617191976053e-05,0.04193299154459126,0.623679630548327,5.9837438787119516e-05,1,0,0,0,3,25.63991893069951,4.212561359603986,1.940367377976389,0.1815926565482302,0.4796689322448425,0.5817466390037357,0.0009941171362159123
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,one_step_jump_law,2000,3,192,3.921170877566911,0.3804918087436149,0.002354319226492726,0.006544496897490554,1.444557669873739,0.0004379367903589679,0.07483409609585066,0.8061750197934496,0.00023939816625041942,0.00014128778485200192,0.5420765220261176,0.00013004808610311147,-5.17789042663802e-05,0.2894792740466868,6.922366003616992e-05,1,0,0,0,3,25.63991893069951,9.30553296407255,1.4380131729762484,0.731340923697599,0.5419352342412656,0.28953105295095316,0.006187568752837796
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,one_step_jump_law,3000,3,192,5.882730820631214,0.5428630069869955,0.004674667542710036,0.0040419355818644065,1.188746539691488,0.0005923634660453639,0.020084643484939692,0.7409790220423944,0.0002983976304801335,-0.00020106979974311018,0.44362214992805216,0.00013976539199275455,-1.5561524530647387e-05,0.2129683136864647,9.596531604338162e-05,1,0,0,0,3,25.63991893069951,9.836492346902793,1.1847046041096236,0.7208943785574548,0.44382321972779526,0.21298387521099535,0.008611136663475063
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,one_step_jump_law,500,3,192,0.9802286454793258,0.1262955126161884,0.0002955876984320564,0.026227551288119558,2.164410449673618,0.00021251060034966406,0.5230856215936437,0.9255414798411173,0.00010470903212231611,0.0792617921663523,0.7737458591055776,0.0001066825053249477,0.0002461209169600884,0.5291930232489127,6.295664501415182e-05,1,0,0,0,3,25.63991893069951,6.761389341347677,2.1381828983854985,0.40245585824747365,0.6944840669392253,0.5289469023319526,0.002340444979469273
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,static_particle_environment,100,3,192,0.19625078289762218,0.057100198209926144,2.87846408769906e-05,0.1996768092479427,1.591737265317109,0.0004005996378761965,0.8787853018242261,0.9636844599785942,1.588179611089442e-05,0.6061486688491503,0.87093838803019,4.043690044006745e-05,0.2157883884338415,0.6685948251395887,5.240654551287438e-05,1,0,0,0,3,25.30870555953942,2.4369544949058772,1.3920604560691663,0.0848991581543681,0.26478971918103966,0.45280643670574716,0.0005041075474233075
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,static_particle_environment,1000,3,192,1.9926797605529742,0.2096882357573943,0.0008758448625577144,0.09972186298760227,1.9242521838872673,0.0005156503017729458,0.2858765529806715,0.8837103017827217,0.00017068836348320624,0.012309526778012189,0.6839386458670308,0.0001230887231356148,5.2347887583388445e-05,0.4252107551608982,7.159098222211011e-05,1,0,0,0,3,25.30870555953942,8.503059403191655,1.824530320899665,0.5978337488020502,0.6716291190890186,0.4251584072733148,0.004176890798828848
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,static_particle_environment,20,3,192,0.03919524731079913,0.03949186469853002,4.140696385868442e-06,0.6582214613463323,0.6751140847848851,0.0008127747200798261,0.9744183697234882,0.9742347768868321,2.536774172992601e-06,0.9035480079769651,0.9029575283359126,8.305624195230775e-06,0.7280079601831771,0.7268548226920929,1.7870933950235613e-05,1,0,0,0,3,25.30870555953942,0.007510847866900772,0.0168926234385528,0.00018359283665603243,0.0005904796410525215,0.0011531374910842551,0.00010484935106198134
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,static_particle_environment,200,3,192,0.39318039885507944,0.07520056123369138,7.88680687677503e-05,0.14271956065247512,2.006542528897479,0.0003710987195199848,0.7729548800594405,0.9533016497076988,3.806459105925475e-05,0.3732169408101578,0.8424183294324846,7.348927910752483e-05,0.052585788989821976,0.623679630548327,5.872509011399019e-05,1,0,0,0,3,25.30870555953942,4.228423729887359,1.863822968245004,0.18034676964825835,0.4692013886223268,0.571093841558505,0.0010487696830168841
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,static_particle_environment,2000,3,192,4.053361214772244,0.3804918087436149,0.002653654890714415,0.09799333593285242,1.444557669873739,0.0007779363705927135,0.08904891721878201,0.8061750197934496,0.00023636879471826378,0.00023009368223056667,0.5420765220261176,0.00013517763783497285,0.00010752022924270619,0.2894792740466868,8.161096313925642e-05,1,0,0,0,3,25.30870555953942,9.652952630324567,1.3465643339408866,0.7171261025746676,0.541846428343887,0.28937175381744407,0.006974276002095266
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,static_particle_environment,3000,3,192,6.177962197184897,0.5428630069869955,0.005348918808879162,0.09955536360176657,1.188746539691488,0.0010437451024350034,0.029948491697307345,0.7409790220423944,0.0003040921916095881,-2.99684126720053e-05,0.44362214992805216,0.00016118523131576095,0.00010326570744390858,0.2129683136864647,9.851301564707636e-05,1,0,0,0,3,25.30870555953942,10.380333744739568,1.0891911760897215,0.711030530345087,0.44365211834072416,0.2128650479790208,0.009853165052757587
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,static_particle_environment,500,3,192,0.9878560478783603,0.1262955126161884,0.00031544271191229055,0.10923842233792001,2.164410449673618,0.00036433009637309885,0.5288213915532983,0.9255414798411173,0.00010483754710677111,0.09480232015508099,0.7737458591055776,0.00010817267853903519,0.0012628401486978645,0.5291930232489127,6.264367325462934e-05,1,0,0,0,3,25.30870555953942,6.821782638314722,2.055172027335698,0.396720088287819,0.6789435389504966,0.5279301831002149,0.0024976557391308096
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,two_point_path_spectrum,100,3,24,0.05742616051703293,0.057100198209926144,2.2035486292186335e-06,0.5030901931446689,1.591737265317109,0.0014137651792464631,0.9627788993301132,0.9636844599785942,1.2442277082106872e-06,0.8623160953615988,0.87093838803019,7.462938950275095e-06,0.6305063240914209,0.6685948251395887,2.879213919096071e-05,1,0,0,1,3,5.288985275849225,0.00570860202460942,1.08864707217244,0.0009055606484810186,0.008622292668591158,0.038088501048167744,3.859091033480116e-05
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,two_point_path_spectrum,1000,3,24,0.21459615097604479,0.2096882357573943,0.00013185535762081412,1.0614334434610158,1.9242521838872673,0.0037275342284964577,0.8750763651588674,0.8837103017827217,6.904336019248784e-05,0.6347092428326145,0.6839386458670308,0.00018735834088513687,0.3256131123035269,0.4252107551608982,0.0002532418280287861,1,0,0,1,3,5.288985275849225,0.023405772865240152,0.8628187404262515,0.008633936623854255,0.04922940303441625,0.09959764285737127,0.0006288161905914861
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,two_point_path_spectrum,20,3,24,0.03920546825742556,0.03949186469853002,1.0706945744044232e-18,0.6597200432998779,0.6751140847848851,6.560716861839553e-17,0.9744126505236546,0.9742347768868321,2.3131515945237494e-07,0.9035328969398894,0.9029575283359126,2.4519640560484313e-06,0.7279803022306325,0.7268548226920929,8.510228481401963e-06,1,0,0,1,3,5.288985275849225,0.007252036420430665,0.015394041485007226,0.0001778736368224232,0.000575368603976778,0.0011254795385395866,2.7111775617024156e-17
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,two_point_path_spectrum,200,3,24,0.07656407472368522,0.07520056123369138,1.0295081496780404e-05,0.6107788658415831,2.006542528897479,0.0020527471755279044,0.9509544018005144,0.9533016497076988,5.283181926951293e-06,0.8240033296876068,0.8424183294324846,1.7333225207536015e-05,0.5577202526041422,0.623679630548327,4.438249109950803e-05,1,0,0,1,3,5.288985275849225,0.01813169300368136,1.395763663055896,0.0023472479071844354,0.018414999744877814,0.06595937794418483,0.00013690165775209664
