benchmark_id,benchmark_source,diagnostic_id,required_observables,available_observables,missing_observables,primary_blocker,observable_coverage_fraction,structural_falsification_ready,has_machine_readable_data,has_uncertainty_estimates,quantitative_falsification_ready
hedges_persistence_exchange_2007,hedges2007persistence,van_hove_gaussian_recovery,time_grid;van_hove_tail;ngp;diffusion,persistence_time;exchange_time;tau_alpha,time_grid;van_hove_tail;ngp;diffusion,time_grid,0.0,0.0,0.0,0.0,0.0
hedges_persistence_exchange_2007,hedges2007persistence,multi_k_alpha_shape,time_grid;self_intermediate_scattering;tau_alpha;wave_numbers,persistence_time;exchange_time;tau_alpha,time_grid;self_intermediate_scattering;wave_numbers,time_grid,0.25,0.0,0.0,0.0,0.0
hedges_persistence_exchange_2007,hedges2007persistence,joint_persistence_exchange_chi4,diffusion;tau_alpha;persistence_time;exchange_time;late_ngp;chi4_peak,persistence_time;exchange_time;tau_alpha,diffusion;late_ngp;chi4_peak,diffusion,0.5,0.0,0.0,0.0,0.0
hedges_persistence_exchange_2007,hedges2007persistence,stokes_einstein_decoupling,temperature_grid;diffusion;tau_alpha,persistence_time;exchange_time;tau_alpha,temperature_grid;diffusion,temperature_grid,0.3333333333333333,0.0,0.0,0.0,0.0
hedges_persistence_exchange_2007,hedges2007persistence,four_point_facilitation_proxy,tau_alpha;chi4_peak;dynamic_length;diffusion,persistence_time;exchange_time;tau_alpha,chi4_peak;dynamic_length;diffusion,chi4_peak,0.25,0.0,0.0,0.0,0.0
weeks_weitz_cage_2002,weeks2002cage,van_hove_gaussian_recovery,time_grid;van_hove_tail;ngp;diffusion,particle_trajectories;msd_plateau;cage_jump_events,time_grid;van_hove_tail;ngp;diffusion,time_grid,0.0,0.0,0.0,0.0,0.0
weeks_weitz_cage_2002,weeks2002cage,multi_k_alpha_shape,time_grid;self_intermediate_scattering;tau_alpha;wave_numbers,particle_trajectories;msd_plateau;cage_jump_events,time_grid;self_intermediate_scattering;tau_alpha;wave_numbers,time_grid,0.0,0.0,0.0,0.0,0.0
weeks_weitz_cage_2002,weeks2002cage,joint_persistence_exchange_chi4,diffusion;tau_alpha;persistence_time;exchange_time;late_ngp;chi4_peak,particle_trajectories;msd_plateau;cage_jump_events,diffusion;tau_alpha;persistence_time;exchange_time;late_ngp;chi4_peak,diffusion,0.0,0.0,0.0,0.0,0.0
weeks_weitz_cage_2002,weeks2002cage,stokes_einstein_decoupling,temperature_grid;diffusion;tau_alpha,particle_trajectories;msd_plateau;cage_jump_events,temperature_grid;diffusion;tau_alpha,temperature_grid,0.0,0.0,0.0,0.0,0.0
weeks_weitz_cage_2002,weeks2002cage,four_point_facilitation_proxy,tau_alpha;chi4_peak;dynamic_length;diffusion,particle_trajectories;msd_plateau;cage_jump_events,tau_alpha;chi4_peak;dynamic_length;diffusion,tau_alpha,0.0,0.0,0.0,0.0,0.0
lacevic_four_point_2003,lacevic2003fourpoint,van_hove_gaussian_recovery,time_grid;van_hove_tail;ngp;diffusion,tau_alpha;chi4_peak;dynamic_length,time_grid;van_hove_tail;ngp;diffusion,time_grid,0.0,0.0,0.0,0.0,0.0
lacevic_four_point_2003,lacevic2003fourpoint,multi_k_alpha_shape,time_grid;self_intermediate_scattering;tau_alpha;wave_numbers,tau_alpha;chi4_peak;dynamic_length,time_grid;self_intermediate_scattering;wave_numbers,time_grid,0.25,0.0,0.0,0.0,0.0
lacevic_four_point_2003,lacevic2003fourpoint,joint_persistence_exchange_chi4,diffusion;tau_alpha;persistence_time;exchange_time;late_ngp;chi4_peak,tau_alpha;chi4_peak;dynamic_length,diffusion;persistence_time;exchange_time;late_ngp,diffusion,0.3333333333333333,0.0,0.0,0.0,0.0
lacevic_four_point_2003,lacevic2003fourpoint,stokes_einstein_decoupling,temperature_grid;diffusion;tau_alpha,tau_alpha;chi4_peak;dynamic_length,temperature_grid;diffusion,temperature_grid,0.3333333333333333,0.0,0.0,0.0,0.0
lacevic_four_point_2003,lacevic2003fourpoint,four_point_facilitation_proxy,tau_alpha;chi4_peak;dynamic_length;diffusion,tau_alpha;chi4_peak;dynamic_length,diffusion,diffusion,0.75,0.0,0.0,0.0,0.0
guan_granick_fickian_ngp_2014,guan2014fickian,van_hove_gaussian_recovery,time_grid;van_hove_tail;ngp;diffusion,time_grid;msd;ngp;van_hove_tail,diffusion,diffusion,0.75,0.0,0.0,0.0,0.0
guan_granick_fickian_ngp_2014,guan2014fickian,multi_k_alpha_shape,time_grid;self_intermediate_scattering;tau_alpha;wave_numbers,time_grid;msd;ngp;van_hove_tail,self_intermediate_scattering;tau_alpha;wave_numbers,self_intermediate_scattering,0.25,0.0,0.0,0.0,0.0
guan_granick_fickian_ngp_2014,guan2014fickian,joint_persistence_exchange_chi4,diffusion;tau_alpha;persistence_time;exchange_time;late_ngp;chi4_peak,time_grid;msd;ngp;van_hove_tail,diffusion;tau_alpha;persistence_time;exchange_time;late_ngp;chi4_peak,diffusion,0.0,0.0,0.0,0.0,0.0
guan_granick_fickian_ngp_2014,guan2014fickian,stokes_einstein_decoupling,temperature_grid;diffusion;tau_alpha,time_grid;msd;ngp;van_hove_tail,temperature_grid;diffusion;tau_alpha,temperature_grid,0.0,0.0,0.0,0.0,0.0
guan_granick_fickian_ngp_2014,guan2014fickian,four_point_facilitation_proxy,tau_alpha;chi4_peak;dynamic_length;diffusion,time_grid;msd;ngp;van_hove_tail,tau_alpha;chi4_peak;dynamic_length;diffusion,tau_alpha,0.0,0.0,0.0,0.0,0.0
